Fold,Station,Horizont,Modell,MAE,RMSE,MASE,MAPE %
2016-09-01,Aotizhongxin,8 h,Seasonal Naive,7.888888888888889,8.37323779138698,0.13717401788084266,167.00651200651203
2016-09-01,Aotizhongxin,8 h,Prophet (Pers.),3.6974396443398216,4.763880028871057,0.06429202629540937,52.15226098963379
2016-09-01,Aotizhongxin,8 h,Prophet (PP),2.909193614896404,3.5325653327546935,0.0505858027117985,43.20694759599558
2016-09-01,Aotizhongxin,8 h,Chronos-2,1.9574252764383953,2.505953886670508,0.03407566584749334,39.39504170252823
2016-09-01,Aotizhongxin,8 h,TFT,4.200119336446126,4.37853947412214,0.07303274936104232,96.06867497366135
2016-09-01,Aotizhongxin,24 h,Seasonal Naive,9.32,11.036303729057115,0.16205854394148003,178.0185925185925
2016-09-01,Aotizhongxin,24 h,Prophet (Pers.),3.8047517379582643,4.738257013318482,0.06615799642836179,52.10059773145767
2016-09-01,Aotizhongxin,24 h,Prophet (PP),7.044456812403297,9.082580554887198,0.12249081693956201,130.36048068942853
2016-09-01,Aotizhongxin,24 h,Chronos-2,7.3613818168640135,9.65265803996858,0.1281499682193187,132.39729414074068
2016-09-01,Aotizhongxin,24 h,TFT,7.736633625030517,9.875757465810784,0.13452656440784763,143.76948400788123
2016-09-01,Aotizhongxin,48 h,Seasonal Naive,24.571428571428573,31.47464155831627,0.4272542850695059,282.05414555362427
2016-09-01,Aotizhongxin,48 h,Prophet (Pers.),6.446740059270413,7.773876200543644,0.11209756514748645,62.89259655651922
2016-09-01,Aotizhongxin,48 h,Prophet (PP),10.972863684368374,13.767887044639183,0.1907989604674981,153.57536611822678
2016-09-01,Aotizhongxin,48 h,Chronos-2,14.735277983607078,17.81076103166895,0.25651779139836955,192.0595051383961
2016-09-01,Aotizhongxin,48 h,TFT,10.280778466438761,13.087908996179156,0.17876480567124328,146.41448374133822
2016-09-01,Aotizhongxin,72 h,Seasonal Naive,19.791666666666668,26.69399641201078,0.34414256246514224,213.4087200821445
2016-09-01,Aotizhongxin,72 h,Prophet (Pers.),9.568212545502037,12.470352837779977,0.16637452717238865,68.91342278246833
2016-09-01,Aotizhongxin,72 h,Prophet (PP),13.14648597000802,15.758095444122272,0.22859446075607245,149.95006752086672
2016-09-01,Aotizhongxin,72 h,Chronos-2,18.812060985300278,21.87337729247197,0.32748810989308447,198.0367646235129
2016-09-01,Aotizhongxin,72 h,TFT,14.127156370215946,16.875990196981057,0.2456466085183262,148.34237803747874
2016-09-01,Changping,8 h,Seasonal Naive,3.2222222222222223,4.307615994440028,0.06267776143166913,69.7259530592864
2016-09-01,Changping,8 h,Prophet (Pers.),4.977182620618073,5.712561278243977,0.09681475807146704,53.491926533954526
2016-09-01,Changping,8 h,Prophet (PP),5.54010028188448,6.279896778854158,0.10776447427514844,60.61663533334642
2016-09-01,Changping,8 h,Chronos-2,4.708894040849474,5.3644235677577665,0.09171561469922956,53.17325885026429
2016-09-01,Changping,8 h,TFT,2.9938499662611218,4.204991647039514,0.058235528466473355,72.34463276007239
2016-09-01,Changping,24 h,Seasonal Naive,7.84,10.205880657738458,0.152501477469606,170.95733155733157
2016-09-01,Changping,24 h,Prophet (Pers.),3.358562988248408,4.298179278928411,0.0653298237095175,43.978838960538134
2016-09-01,Changping,24 h,Prophet (PP),7.169714126220563,7.828612078054357,0.1394632649596098,143.59999413589767
2016-09-01,Changping,24 h,Chronos-2,7.571594524383545,8.741633652701049,0.1474727271484502,162.51051696574518
2016-09-01,Changping,24 h,TFT,4.674457359313965,5.669941869945157,0.09092623133470057,107.76026992704698
2016-09-01,Changping,48 h,Seasonal Naive,17.306122448979593,21.497033492544777,0.33663383198205404,292.1914395128681
2016-09-01,Changping,48 h,Prophet (Pers.),4.347307426384898,5.647207318419465,0.08456260274723051,46.640133889735694
2016-09-01,Changping,48 h,Prophet (PP),8.157262094434753,9.108111405562912,0.15867277060052454,152.4365790532801
2016-09-01,Changping,48 h,Chronos-2,12.062242147873858,13.680981560510993,0.23493753387656025,216.0014432305704
2016-09-01,Changping,48 h,TFT,8.276933689506686,10.139460680964689,0.16100058884792431,144.2461486529594
2016-09-01,Changping,72 h,Seasonal Naive,14.430555555555555,18.7546290582115,0.2806991126185527,218.1362508515179
2016-09-01,Changping,72 h,Prophet (Pers.),6.711131480902109,9.898815290899737,0.13054304417479037,51.66627309646802
2016-09-01,Changping,72 h,Prophet (PP),9.280354757449468,10.44747313572952,0.18051885356545033,142.2266025880149
2016-09-01,Changping,72 h,Chronos-2,14.09199963013331,15.983701475415169,0.274471329617312,208.34367489784086
2016-09-01,Changping,72 h,TFT,9.466537727249992,11.209033599101225,0.18414043238869768,137.8596771097005
2016-09-01,Dingling,8 h,Seasonal Naive,4.555555555555555,5.744562646538029,0.08903484969285717,96.29188712522046
2016-09-01,Dingling,8 h,Prophet (Pers.),3.6941004217965534,5.861151113768077,0.07219836785962898,45.33727451046566
2016-09-01,Dingling,8 h,Prophet (PP),4.278541383066157,6.152110888921989,0.08362081952472393,58.64539323815693
2016-09-01,Dingling,8 h,Chronos-2,5.119975725809733,5.496316298379524,0.10019231785612752,121.72642220054772
2016-09-01,Dingling,8 h,TFT,5.878991656833225,6.072811698345428,0.11490039625866752,130.01410225711803
2016-09-01,Dingling,24 h,Seasonal Naive,6.6,7.602631123499285,0.1289919529696516,170.1984126984127
2016-09-01,Dingling,24 h,Prophet (Pers.),2.385160928580618,4.0563249280430185,0.046616146412806314,33.92047042013445
2016-09-01,Dingling,24 h,Prophet (PP),5.802487551954091,6.974970635215547,0.11340518203161379,130.2570842521856
2016-09-01,Dingling,24 h,Chronos-2,9.729947547912598,10.94974512580942,0.19040441784315898,254.00543482341465
2016-09-01,Dingling,24 h,TFT,4.945214042663574,5.685342393775633,0.09665042685092735,118.0367859113784
2016-09-01,Dingling,48 h,Seasonal Naive,15.326530612244898,19.30369532139441,0.2995453205943363,339.59949347704446
2016-09-01,Dingling,48 h,Prophet (Pers.),3.0584226577361235,5.063324221481227,0.05977453206485075,37.11983516536878
2016-09-01,Dingling,48 h,Prophet (PP),8.016898533058267,9.338609039946823,0.1566841512937456,188.8770915813808
2016-09-01,Dingling,48 h,Chronos-2,13.571495270242496,15.118208851355119,0.2655792997307656,330.5786260014012
2016-09-01,Dingling,48 h,TFT,8.97720732007708,11.132895025106107,0.17545265218639317,199.64989190521916
2016-09-01,Dingling,72 h,Seasonal Naive,12.569444444444445,16.611993659200973,0.24566017979279192,254.8830577404924
2016-09-01,Dingling,72 h,Prophet (Pers.),5.017055689796994,8.195775257730702,0.09805451690672982,44.94486203738481
2016-09-01,Dingling,72 h,Prophet (PP),9.55566794370917,11.101414890593254,0.18675822272553647,192.30408669827943
2016-09-01,Dingling,72 h,Chronos-2,15.975137405925327,17.75315361320759,0.3126159439977906,327.81581138518163
2016-09-01,Dingling,72 h,TFT,11.509605632887947,13.396242420746368,0.22494644068132114,206.78272843587894
2016-09-01,Dongsi,8 h,Seasonal Naive,6.222222222222222,7.423685817106696,0.10257575402894668,101.0261343594677
2016-09-01,Dongsi,8 h,Prophet (Pers.),4.907972941777931,6.0939723912400625,0.0809098433448009,54.43740781237939
2016-09-01,Dongsi,8 h,Prophet (PP),5.1625631083966095,6.1300475430058965,0.08510686128736153,62.52645899169834
2016-09-01,Dongsi,8 h,Chronos-2,2.450177033742269,3.0342193134229967,0.04043952522595796,38.68187879912074
2016-09-01,Dongsi,8 h,TFT,3.9310803943210177,4.5175889587424045,0.06480538964933906,78.07863830889343
2016-09-01,Dongsi,24 h,Seasonal Naive,8.92,11.646458689232533,0.14704967024006857,135.8061383061383
2016-09-01,Dongsi,24 h,Prophet (Pers.),4.449269601625995,5.546970385696366,0.07334794032828071,49.44002403197659
2016-09-01,Dongsi,24 h,Prophet (PP),9.668643488914697,12.134205256404837,0.1593913494073646,138.89309820225722
2016-09-01,Dongsi,24 h,Chronos-2,7.597158374786377,10.16474030768428,0.12538909373153814,109.39854170331573
2016-09-01,Dongsi,24 h,TFT,8.17651584625244,10.264836614971742,0.13479304472019243,123.46700011766873
2016-09-01,Dongsi,48 h,Seasonal Naive,25.122448979591837,33.324930913779305,0.41415334507532814,252.1992576584413
2016-09-01,Dongsi,48 h,Prophet (Pers.),6.629009212315877,7.847927469922667,0.10928179581720027,59.23389848409967
2016-09-01,Dongsi,48 h,Prophet (PP),14.561092212774412,17.700924393183975,0.2400452699802363,160.4426817571259
2016-09-01,Dongsi,48 h,Chronos-2,15.697495372927918,19.250260031296047,0.25908301782925397,164.74189071339663
2016-09-01,Dongsi,48 h,TFT,11.421668928496691,14.114967327728149,0.18829065577653317,127.26931588748118
2016-09-01,Dongsi,72 h,Seasonal Naive,20.23611111111111,28.192049706728785,0.33360016433074846,189.54800186677323
2016-09-01,Dongsi,72 h,Prophet (Pers.),10.316357500308278,13.673086226631536,0.17006916687208412,65.6016317974015
2016-09-01,Dongsi,72 h,Prophet (PP),16.757545594362327,19.61085828414471,0.2762546584847415,158.62288843147036
2016-09-01,Dongsi,72 h,Chronos-2,20.05353213018841,23.689614610295123,0.33097825474663883,179.8828056539623
2016-09-01,Dongsi,72 h,TFT,15.020372019873726,17.73467224589887,0.24761667627865291,133.6024489357456
2016-09-01,Guanyuan,8 h,Seasonal Naive,6.888888888888889,8.563488385776752,0.12146209798849612,93.69248035914704
2016-09-01,Guanyuan,8 h,Prophet (Pers.),7.268827364779292,7.976968323720415,0.12816101927065418,69.52832546715304
2016-09-01,Guanyuan,8 h,Prophet (PP),6.392044099980295,7.21681463000625,0.112701931957538,61.96258326637467
2016-09-01,Guanyuan,8 h,Chronos-2,3.19827938079834,4.324593276719993,0.056459449272191764,27.60937619690943
2016-09-01,Guanyuan,8 h,TFT,3.5950786802503796,4.580471002658245,0.06338697081342458,45.66284483932084
2016-09-01,Guanyuan,24 h,Seasonal Naive,11.12,12.4,0.19606333494659178,152.85184194890076
2016-09-01,Guanyuan,24 h,Prophet (Pers.),6.156490432292189,7.324986942015899,0.1085487451188841,60.56069346851607
2016-09-01,Guanyuan,24 h,Prophet (PP),9.118762393448598,10.546338466817268,0.16077832423067423,121.22876300186243
2016-09-01,Guanyuan,24 h,Chronos-2,10.365987243652343,13.121896341296486,0.18299149675694903,136.033233701862
2016-09-01,Guanyuan,24 h,TFT,7.449698905944825,9.618191817659245,0.13135007300787038,101.01401425487835
2016-09-01,Guanyuan,48 h,Seasonal Naive,26.285714285714285,35.01836253004578,0.46345906513582846,221.15248803230165
2016-09-01,Guanyuan,48 h,Prophet (Pers.),9.466655731829619,10.970253797192019,0.16691223863073593,69.52039475609386
2016-09-01,Guanyuan,48 h,Prophet (PP),11.871447930755254,13.981088988262032,0.2093125604270406,112.65444764272291
2016-09-01,Guanyuan,48 h,Chronos-2,18.54559801062759,21.758471349233005,0.3273867368779156,162.282199717022
2016-09-01,Guanyuan,48 h,TFT,8.872605226477798,11.482957400161212,0.156438180788471,86.27797556858529
2016-09-01,Guanyuan,72 h,Seasonal Naive,20.833333333333332,29.53434911721905,0.3673248931103713,167.01029556704714
2016-09-01,Guanyuan,72 h,Prophet (Pers.),12.74679352796041,15.220747788723104,0.22474629936758544,73.90305062417035
2016-09-01,Guanyuan,72 h,Prophet (PP),13.802851444906263,15.89688661761457,0.2433662847176893,111.89195710738136
2016-09-01,Guanyuan,72 h,Chronos-2,23.039084752400715,26.036962667738475,0.40671057214870376,170.0473058776434
2016-09-01,Guanyuan,72 h,TFT,12.13756529490153,14.946158332766439,0.21400463397935313,92.07482729564157
2016-09-01,Gucheng,8 h,Seasonal Naive,5.333333333333333,6.091888960832355,0.09362292004748657,124.19753086419752
2016-09-01,Gucheng,8 h,Prophet (Pers.),3.0789977653853224,3.4537057779043105,0.054049642802823726,55.500208483979144
2016-09-01,Gucheng,8 h,Prophet (PP),2.742162814715297,3.1508395763113426,0.04813674186736519,49.003540655696085
2016-09-01,Gucheng,8 h,Chronos-2,1.5354178216722276,1.7008473571611915,0.026983277609668118,34.63835604396867
2016-09-01,Gucheng,8 h,TFT,6.692367341783312,6.784819891030951,0.11747980735653549,143.64254827852602
2016-09-01,Gucheng,24 h,Seasonal Naive,5.28,6.4,0.09268669084701171,78.95079365079366
2016-09-01,Gucheng,24 h,Prophet (Pers.),6.530042238944044,8.082298204143012,0.11463030420813158,65.43204504004164
2016-09-01,Gucheng,24 h,Prophet (PP),6.040590118092643,7.541654084130809,0.1060383160623422,64.29880047816361
2016-09-01,Gucheng,24 h,Chronos-2,3.956938762664795,5.188323914390906,0.06953884187768256,44.13931099829948
2016-09-01,Gucheng,24 h,TFT,7.3106045913696285,8.526394527370105,0.12833252796686007,93.84633061265771
2016-09-01,Gucheng,48 h,Seasonal Naive,15.408163265306122,23.43597444014615,0.27047948202494526,144.11807030504508
2016-09-01,Gucheng,48 h,Prophet (Pers.),9.78855619026935,11.721555678896225,0.17183122754660948,72.61779959233613
2016-09-01,Gucheng,48 h,Prophet (PP),8.355014420333935,10.505196982860307,0.14666640882572277,75.8696426900424
2016-09-01,Gucheng,48 h,Chronos-2,7.9659145413612835,10.509577400010683,0.1399921770155988,71.59506210788565
2016-09-01,Gucheng,48 h,TFT,8.796325430578115,10.35065881918099,0.15441331359350396,87.23889015560371
2016-09-01,Gucheng,72 h,Seasonal Naive,14.680555555555555,22.4223970370897,0.25770683981821174,113.27721550448422
2016-09-01,Gucheng,72 h,Prophet (Pers.),13.489233299239775,17.945818771400685,0.23679401450186607,76.27180326528986
2016-09-01,Gucheng,72 h,Prophet (PP),10.811374059214895,13.101799230393269,0.1897860767155025,87.59482092114196
2016-09-01,Gucheng,72 h,Chronos-2,10.722914927535587,13.305399233653121,0.18844342314551668,86.2413633556437
2016-09-01,Gucheng,72 h,TFT,13.413068837589687,16.586461614718218,0.23545700088245494,104.03022569421789
2016-09-01,Huairou,8 h,Seasonal Naive,4.555555555555555,5.217491947499509,0.09079678783459681,129.93827160493828
2016-09-01,Huairou,8 h,Prophet (Pers.),1.713083794790973,2.0248629565363347,0.034143476895773114,41.00321793596544
2016-09-01,Huairou,8 h,Prophet (PP),2.845206971088798,3.439478217165879,0.056707826421833876,61.608063313775794
2016-09-01,Huairou,8 h,Chronos-2,2.003054247962104,2.8570644797334164,0.03997490210681645,34.94202501979875
2016-09-01,Huairou,8 h,TFT,1.878808233473036,2.1007567114595846,0.03744653104899766,51.89392537246517
2016-09-01,Huairou,24 h,Seasonal Naive,6.68,8.449852069711044,0.13313909474673075,129.04444444444445
2016-09-01,Huairou,24 h,Prophet (Pers.),2.0035262948277026,2.7982671165501087,0.03993228700518442,31.616057279921606
2016-09-01,Huairou,24 h,Prophet (PP),4.527498267814018,5.734690667575581,0.09023757797068112,79.26227938217636
2016-09-01,Huairou,24 h,Chronos-2,2.8955251693725588,3.477499732534491,0.05778592133051457,44.71987532055567
2016-09-01,Huairou,24 h,TFT,3.1069373512268066,4.150304691289259,0.06192437520615905,53.04150011880056
2016-09-01,Huairou,48 h,Seasonal Naive,13.224489795918368,15.526146479078314,0.2635773353167589,239.24814980937427
2016-09-01,Huairou,48 h,Prophet (Pers.),2.126032152889441,2.8757115508184663,0.042373951532656176,32.014808800194885
2016-09-01,Huairou,48 h,Prophet (PP),8.601550433942958,10.438145498293462,0.17143752068765186,153.45107686564353
2016-09-01,Huairou,48 h,Chronos-2,7.533647731858856,9.474674858920697,0.15034881401474415,132.84251347637556
2016-09-01,Huairou,48 h,TFT,6.52405782621734,8.728913195383988,0.13003101093681146,117.54035031049015
2016-09-01,Huairou,72 h,Seasonal Naive,12.13888888888889,14.480830240163872,0.24194022124218786,198.89349500553624
2016-09-01,Huairou,72 h,Prophet (Pers.),4.190967026804158,7.3114830390831305,0.0835301730631891,37.57244968082911
2016-09-01,Huairou,72 h,Prophet (PP),10.911952271452098,12.79780481479412,0.21748614481147674,172.07300096344233
2016-09-01,Huairou,72 h,Chronos-2,12.460152016745674,15.689529540790794,0.2486669333155691,187.24330309291005
2016-09-01,Huairou,72 h,TFT,8.258675634860992,10.491561602697,0.1646036823102207,121.91417690526345
2016-09-01,Nongzhanguan,8 h,Seasonal Naive,6.333333333333333,7.203394261658103,0.10412796248874623,74.13900913900915
2016-09-01,Nongzhanguan,8 h,Prophet (Pers.),6.174370919661694,6.439008324462391,0.10151442055486397,69.0800128551402
2016-09-01,Nongzhanguan,8 h,Prophet (PP),5.36598662757979,5.851989475508354,0.08822356646395932,60.430794798703694
2016-09-01,Nongzhanguan,8 h,Chronos-2,3.396277215745714,3.76873629977713,0.05590121060114572,36.63033772283245
2016-09-01,Nongzhanguan,8 h,TFT,1.238992691040039,1.5265671126975426,0.02037059754575494,14.252022524493157
2016-09-01,Nongzhanguan,24 h,Seasonal Naive,7.6,9.204346799203082,0.12495355498649548,116.66147186147187
2016-09-01,Nongzhanguan,24 h,Prophet (Pers.),5.0313208799307345,6.507661047290353,0.08272124081909578,53.58597730656665
2016-09-01,Nongzhanguan,24 h,Prophet (PP),8.439079974405754,10.048500685167356,0.1387490846864924,148.5052401418406
