Fold,Station,ds,lead,y,yhat_chronos,yhat_tft,yhat_prophet_pp,yhat_prophet_pers,yhat_naive
2016-09-01,Aotizhongxin,2016-09-01 00:00:00,0,7.0,7.0556507,12.871152,2.8987480649131645,2.3802761305683475,16.0
2016-09-01,Aotizhongxin,2016-09-01 01:00:00,1,8.0,6.1293125,10.895952,2.127762366421133,2.374120121727474,14.0
2016-09-01,Aotizhongxin,2016-09-01 02:00:00,2,7.0,5.6761856,9.563795,2.4598179716117174,2.3848220461336136,21.0
2016-09-01,Aotizhongxin,2016-09-01 03:00:00,3,3.0,5.3138456,8.5355215,2.635690209405763,2.3621163831533023,14.0
2016-09-01,Aotizhongxin,2016-09-01 04:00:00,4,3.0,5.1807494,8.734223,2.2022636225502428,2.2820422444806514,9.0
2016-09-01,Aotizhongxin,2016-09-01 05:00:00,5,5.0,5.39036,8.692777,2.430833227382658,2.185553896647677,11.0
2016-09-01,Aotizhongxin,2016-09-01 06:00:00,6,3.0,5.609851,7.7492857,2.2729103723504416,2.148412446191384,11.0
2016-09-01,Aotizhongxin,2016-09-01 07:00:00,7,5.0,6.1360817,8.908837,3.197182450106407,2.219891678317858,10.0
2016-09-01,Aotizhongxin,2016-09-01 08:00:00,8,13.0,7.2642126,10.15047,7.592049181190836,2.385808253721294,7.0
2016-09-01,Aotizhongxin,2016-09-01 09:00:00,9,3.0,7.421953,8.091824,5.1844964270048965,2.5717854253479655,8.0
2016-09-01,Aotizhongxin,2016-09-01 10:00:00,10,6.0,8.552955,7.3362427,6.810614264999012,2.6916376340652857,9.0
2016-09-01,Aotizhongxin,2016-09-01 11:00:00,11,5.0,9.005958,6.2104664,8.6048656675888,2.713968765700588,12.0
2016-09-01,Aotizhongxin,2016-09-01 12:00:00,12,6.0,9.734301,5.879846,11.213320896146922,2.6750503705994646,9.0
2016-09-01,Aotizhongxin,2016-09-01 13:00:00,13,6.0,10.6591625,5.522505,12.58654858481866,2.6241700704130175,11.0
2016-09-01,Aotizhongxin,2016-09-01 14:00:00,14,3.0,12.116227,9.340802,16.587092487433114,2.573939268937396,14.0
2016-09-01,Aotizhongxin,2016-09-01 15:00:00,15,7.0,13.535432,11.646225,17.570568330204676,2.5067321318321922,13.0
2016-09-01,Aotizhongxin,2016-09-01 16:00:00,16,4.0,14.34257,15.581959,18.288345128537788,2.418901491149165,14.0
2016-09-01,Aotizhongxin,2016-09-01 17:00:00,17,3.0,16.26492,16.36647,16.78386981037062,2.3468577264386195,17.0
